iter	Logloss
0	0.6867509451
1	0.6804937762
2	0.6743651294
3	0.6683433681
4	0.6624609207
5	0.656648256
6	0.6509704894
7	0.6454277089
8	0.6399548063
9	0.6345702164
10	0.6292796652
11	0.6241283522
12	0.6190802988
13	0.6140908758
14	0.6092268968
15	0.6043816433
16	0.5996305728
17	0.5950313375
18	0.5904769733
19	0.5859589046
20	0.5815649746
21	0.5772550544
22	0.5729772368
23	0.5687896589
24	0.5646808824
25	0.5606722651
26	0.5566865913
27	0.5527635457
28	0.548937458
29	0.5451796383
30	0.541470577
31	0.5377910597
32	0.5342307916
33	0.5306604142
34	0.5271676782
35	0.5237448515
36	0.5203483255
37	0.5170138907
38	0.5137434909
39	0.5105281406
40	0.507355768
41	0.5042680307
42	0.5011836236
43	0.4981593354
44	0.4951797855
45	0.4922193898
46	0.4893364353
47	0.4864592026
48	0.483639852
49	0.4808762638
50	0.4781775867
51	0.4755492038
52	0.4728928211
53	0.4702797143
54	0.4677088912
55	0.4652217788
56	0.4627433898
57	0.4603010999
58	0.4578678241
59	0.455491667
60	0.4531345047
61	0.4508022761
62	0.4485428198
63	0.446283185
64	0.4440452107
65	0.4418587494
66	0.439706877
67	0.4375997655
68	0.4355125254
69	0.4334324973
70	0.4313799089
71	0.4293786693
72	0.4273891926
73	0.4254373162
74	0.4235127942
75	0.4216145237
76	0.4197538192
77	0.4178939604
78	0.4161108437
79	0.4142897489
80	0.4125023947
81	0.4107720706
82	0.409039657
83	0.4073289362
84	0.4056320705
85	0.4040105294
86	0.4023547399
87	0.4007539333
88	0.399147633
89	0.3976026004
90	0.3960570393
91	0.3945202507
92	0.393033324
93	0.3915394025
94	0.3900907264
95	0.3886720865
96	0.3872402646
97	0.3858276771
98	0.3844202697
99	0.3830592066
