iter	Passed	Remaining
0	64	6362
1	130	6412
2	195	6335
3	247	5945
4	305	5808
5	362	5675
6	413	5499
7	463	5335
8	514	5201
9	578	5203
10	630	5102
11	680	4992
12	732	4904
13	789	4848
14	841	4770
15	893	4692
16	944	4610
17	1012	4611
18	1095	4670
19	1159	4638
20	1223	4602
21	1291	4577
22	1369	4586
23	1455	4610
24	1523	4570
25	1570	4470
26	1656	4478
27	1726	4438
28	1793	4391
29	1857	4333
30	1922	4278
31	1995	4241
32	2062	4187
33	2117	4110
34	2182	4052
35	2277	4048
36	2334	3974
37	2392	3904
38	2453	3836
39	2508	3762
40	2568	3696
41	2634	3637
42	2704	3585
43	2773	3530
44	2835	3465
45	2894	3397
46	2954	3331
47	3043	3297
48	3121	3249
49	3180	3180
50	3230	3103
51	3291	3037
52	3362	2982
53	3433	2925
54	3515	2876
55	3564	2800
56	3641	2747
57	3710	2686
58	3780	2627
59	3849	2566
60	3919	2506
61	3994	2448
62	4070	2390
63	4153	2336
64	4226	2275
65	4292	2211
66	4348	2141
67	4406	2073
68	4460	2004
69	4518	1936
70	4569	1866
71	4618	1796
72	4670	1727
73	4728	1661
74	4779	1593
75	4832	1525
76	4883	1458
77	4953	1397
78	5006	1330
79	5081	1270
80	5148	1207
81	5220	1145
82	5289	1083
83	5358	1020
84	5422	956
85	5494	894
86	5569	832
87	5636	768
88	5715	706
89	5790	643
90	5850	578
91	5914	514
92	5967	449
93	6020	384
94	6069	319
95	6123	255
96	6174	190
97	6222	126
98	6275	63
99	6336	0
